GeneFamily	Description
K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
K00656	"E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]"
K00657	"speG, SAT; diamine N-acetyltransferase [EC:2.3.1.57]"
K00658	"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
K00661	maa; maltose O-acetyltransferase [EC:2.3.1.79]
K00662	aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]
K00666	ACSF2; fatty-acyl-CoA synthase [EC:6.2.1.-]
K00672	ftr; formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]
K00673	astA; arginine N-succinyltransferase [EC:2.3.1.109]
K00674	"dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
K00677	lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
K00680	ytmI; uncharacterized N-acetyltransferase [EC:2.3.1.-]
K00681	ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
K00684	aat; leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]
K00685	ATE1; arginyl-tRNA---protein transferase [EC:2.3.2.8]
K00688	"PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]"
K00690	E2.4.1.7; sucrose phosphorylase [EC:2.4.1.7]
K00691	mapA; maltose phosphorylase [EC:2.4.1.8]
K00697	otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]
K00700	"GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
K00702	E2.4.1.20; cellobiose phosphorylase [EC:2.4.1.20]
K00703	glgA; starch synthase [EC:2.4.1.21]
K00705	malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]
K00721	DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]
K00748	lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]
K00752	hasA; hyaluronan synthase [EC:2.4.1.212]
K00754	bshA; L-malate glycosyltransferase [EC:2.4.1.-]
K00756	pdp; pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]
K00757	"udp, UPP; uridine phosphorylase [EC:2.4.2.3]"
K00758	"deoA, TYMP; thymidine phosphorylase [EC:2.4.2.4]"
K00759	"APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]"
K00760	"hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]"
K00761	"upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9]"
K00762	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]
K00763	"pncB, NAPRT1; nicotinate phosphoribosyltransferase [EC:6.3.4.21]"
K00764	"purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]"
K00765	hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]
K00766	trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]
K00767	"nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]"
K00768	"E2.4.2.21, cobU, cobT; nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]"
K00769	gpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]
K00772	"mtaP, MTAP; 5'-methylthioadenosine phosphorylase [EC:2.4.2.28]"
K00773	"tgt, QTRT1; queuine tRNA-ribosyltransferase [EC:2.4.2.29]"
K00782	lldG; L-lactate dehydrogenase complex protein LldG
K00783	rlmH; 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]
K00784	rnz; ribonuclease Z [EC:3.1.26.11]
K00788	thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]
K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]
K00790	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
K00791	"miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]"
K00793	"ribE, RIB5; riboflavin synthase [EC:2.5.1.9]"
K00794	"ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]"
K00795	ispA; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
K00796	folP; dihydropteroate synthase [EC:2.5.1.15]
K00797	"speE, SRM; spermidine synthase [EC:2.5.1.16]"
K00798	"MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]"
K00799	"GST, gst; glutathione S-transferase [EC:2.5.1.18]"
K00800	aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]
K00803	"AGPS, agpS; alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]"
K00805	hepST; heptaprenyl diphosphate synthase [EC:2.5.1.30]
K00806	uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]
K00808	hss; homospermidine synthase [EC:2.5.1.44]
K00809	"DHPS, dys; deoxyhypusine synthase [EC:2.5.1.46]"
K00812	aspB; aspartate aminotransferase [EC:2.6.1.1]
K00813	aspC; aspartate aminotransferase [EC:2.6.1.1]
K00817	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]
K00819	"rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]"
K00820	"glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]"
K00821	argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
K00822	E2.6.1.18; beta-alanine--pyruvate transaminase [EC:2.6.1.18]
K00823	puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19]
K00824	dat; D-alanine transaminase [EC:2.6.1.21]
K00826	"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]"
K00830	AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]
K00831	"serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]"
K00832	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]
K00833	bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]
K00835	avtA; valine--pyruvate aminotransferase [EC:2.6.1.66]
K00836	"ectB, dat; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]"
K00837	"ISS1, VAS1; aromatic aminotransferase [EC:2.6.1.-]"
K00839	pucG; (S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112]
K00840	astC; succinylornithine aminotransferase [EC:2.6.1.81]
K00845	glk; glucokinase [EC:2.7.1.2]
K00847	"E2.7.1.4, scrK; fructokinase [EC:2.7.1.4]"
K00848	rhaB; rhamnulokinase [EC:2.7.1.5]
K00849	galK; galactokinase [EC:2.7.1.6]
K00850	"pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]"
K00851	"E2.7.1.12, gntK, idnK; gluconokinase [EC:2.7.1.12]"
K00852	"rbsK, RBKS; ribokinase [EC:2.7.1.15]"
K00853	araB; L-ribulokinase [EC:2.7.1.16]
K00854	"xylB, XYLB; xylulokinase [EC:2.7.1.17]"
K00855	"PRK, prkB; phosphoribulokinase [EC:2.7.1.19]"
K00856	"E2.7.1.20, ADK; adenosine kinase [EC:2.7.1.20]"
K00857	"tdk, TK; thymidine kinase [EC:2.7.1.21]"
K00858	"ppnK, NADK; NAD+ kinase [EC:2.7.1.23]"
K00859	coaE; dephospho-CoA kinase [EC:2.7.1.24]
K00860	cysC; adenylylsulfate kinase [EC:2.7.1.25]
K00864	"glpK, GK; glycerol kinase [EC:2.7.1.30]"
K00865	"glxK, garK; glycerate 2-kinase [EC:2.7.1.165]"
K00867	coaA; type I pantothenate kinase [EC:2.7.1.33]
K00868	"pdxK, pdxY; pyridoxine kinase [EC:2.7.1.35]"
K00869	"E2.7.1.36, MVK, mvaK1; mevalonate kinase [EC:2.7.1.36]"
K00872	thrB1; homoserine kinase [EC:2.7.1.39]
K00873	"PK, pyk; pyruvate kinase [EC:2.7.1.40]"
K00874	kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
K00875	rbtK; D-ribulokinase [EC:2.7.1.47]
K00876	"udk, UCK; uridine kinase [EC:2.7.1.48]"
K00878	thiM; hydroxyethylthiazole kinase [EC:2.7.1.50]
K00879	fucK; L-fuculokinase [EC:2.7.1.51]
K00880	lyxK; L-xylulokinase [EC:2.7.1.53]
K00881	alsK; allose kinase [EC:2.7.1.55]
K00882	fruK; 1-phosphofructokinase [EC:2.7.1.56]
K00883	dgoK; 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]
K00884	"NAGK, nagK; N-acetylglucosamine kinase [EC:2.7.1.59]"
K00885	nanK; N-acylmannosamine kinase [EC:2.7.1.60]
K00886	ppgK; polyphosphate glucokinase [EC:2.7.1.63]
K00891	"E2.7.1.71, aroK, aroL; shikimate kinase [EC:2.7.1.71]"
K00892	gsk; inosine kinase [EC:2.7.1.73]
K00895	"pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]"
K00901	"dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]"
K00906	aceK; isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5 3.1.3.-]
K00912	lpxK; tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]
K00919	ispE; 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]
K00924	E2.7.1.-; kinase [EC:2.7.1.-]
K00925	ackA; acetate kinase [EC:2.7.2.1]
K00926	arcC; carbamate kinase [EC:2.7.2.2]
K00927	"PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]"
K00928	lysC; aspartate kinase [EC:2.7.2.4]
K00930	argB; acetylglutamate kinase [EC:2.7.2.8]
K00931	proB; glutamate 5-kinase [EC:2.7.2.11]
K00936	"pdtaS; two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]"
K00937	ppk; polyphosphate kinase [EC:2.7.4.1]
K00939	"adk, AK; adenylate kinase [EC:2.7.4.3]"
K00940	"ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
K00941	thiD; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]
K00942	"E2.7.4.8, gmk; guanylate kinase [EC:2.7.4.8]"
K00943	"tmk, DTYMK; dTMP kinase [EC:2.7.4.9]"
K00945	cmk; CMP/dCMP kinase [EC:2.7.4.25]
K00946	thiL; thiamine-monophosphate kinase [EC:2.7.4.16]
K00947	mosAB; molybdenum storage protein
K00948	"PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"
K00950	folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
K00951	relA; GTP pyrophosphokinase [EC:2.7.6.5]
K00954	"E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]"
K00955	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]
K00956	cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]
K00957	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
K00958	"sat, met3; sulfate adenylyltransferase [EC:2.7.7.4]"
K00960	E2.7.7.6; DNA-directed RNA polymerase [EC:2.7.7.6]
K00962	"pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]"
K00963	"UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]"
K00965	"galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]"
K00966	GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
K00968	PCYT1; choline-phosphate cytidylyltransferase [EC:2.7.7.15]
K00969	nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]
K00970	pcnB; poly(A) polymerase [EC:2.7.7.19]
K00971	"manC, cpsB; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]"
K00973	"E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]"
K00974	cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
K00975	glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
K00978	rfbF; glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]
K00979	kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]
K00980	tagD; glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39]
K00981	"E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]"
K00982	glnE; [glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [EC:2.7.7.42 2.7.7.89]
K00984	"aadA; streptomycin 3""-adenylyltransferase [EC:2.7.7.47]"
K00986	ltrA; RNA-directed DNA polymerase [EC:2.7.7.49]
K00989	rph; ribonuclease PH [EC:2.7.7.56]
K00990	glnD; [protein-PII] uridylyltransferase [EC:2.7.7.59]
K00991	ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
K00992	murU; N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]
K00995	"pgsA, PGS1; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]"
K00997	acpS; holo-[acyl-carrier protein] synthase [EC:2.7.8.7]
K00998	pssA; CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]
K01000	mraY; phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]
K01004	pcs; phosphatidylcholine synthase [EC:2.7.8.24]
K01006	"ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]"
K01007	"pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]"
K01008	"selD, SEPHS; selenide, water dikinase [EC:2.7.9.3]"
K01009	E2.7.7.103; L-glutamine-phosphate cytidylyltransferase [EC:2.7.7.103]
K01011	"TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]"
K01012	bioB; biotin synthase [EC:2.8.1.6]
K01014	SULT1A; aryl sulfotransferase [EC:2.8.2.1]
K01023	assT; arylsulfate sulfotransferase [EC:2.8.2.22]
K01026	pct; propionate CoA-transferase [EC:2.8.3.1]
K01028	"E2.8.3.5A, scoA; 3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]"
K01029	"E2.8.3.5B, scoB; 3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]"
K01032	"pcaJ; 3-oxoadipate CoA-transferase, beta subunit [EC:2.8.3.6]"
K01039	"gctA; glutaconate CoA-transferase, subunit A [EC:2.8.3.12]"
K01040	"gctB; glutaconate CoA-transferase, subunit B [EC:2.8.3.12]"
K01042	selA; L-seryl-tRNA(Ser) seleniumtransferase [EC:2.9.1.1]
K01046	"lip, TGL2; triacylglycerol lipase [EC:3.1.1.3]"
K01048	pldB; lysophospholipase [EC:3.1.1.5]
K01051	E3.1.1.11; pectinesterase [EC:3.1.1.11]
K01053	"E3.1.1.17, gnl, RGN; gluconolactonase [EC:3.1.1.17]"
K01055	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]
K01056	"PTH1, pth, spoVC; peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]"
K01057	"PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]"
K01058	pldA; phospholipase A1/A2 [EC:3.1.1.32 3.1.1.4]
K01061	E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]
K01066	aes; acetyl esterase [EC:3.1.1.-]
K01069	"gloB, gloC, HAGH; hydroxyacylglutathione hydrolase [EC:3.1.2.6]"
K01070	"frmB, ESD, fghA; S-formylglutathione hydrolase [EC:3.1.2.12]"
K01075	E3.1.2.23; 4-hydroxybenzoyl-CoA thioesterase [EC:3.1.2.23]
K01077	"E3.1.3.1, phoA, phoB; alkaline phosphatase [EC:3.1.3.1]"
K01079	"serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]"
K01081	E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]
K01082	"cysQ, MET22, BPNT1; 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]"
K01083	E3.1.3.8; 3-phytase [EC:3.1.3.8]
K01085	agp; glucose-1-phosphatase [EC:3.1.3.10]
K01087	otsB; trehalose 6-phosphate phosphatase [EC:3.1.3.12]
K01089	hisB; imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:4.2.1.19 3.1.3.15]
K01091	gph; phosphoglycolate phosphatase [EC:3.1.3.18]
K01092	"E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]"
K01093	appA; 4-phytase / acid phosphatase [EC:3.1.3.26 3.1.3.2]
K01095	pgpA; phosphatidylglycerophosphatase A [EC:3.1.3.27]
K01096	pgpB; phosphatidylglycerophosphatase B [EC:3.1.3.27 3.1.3.81 3.1.3.4 3.6.1.27]
K01104	E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]
K01113	phoD; alkaline phosphatase D [EC:3.1.3.1]
K01118	"acpD, azoR; FMN-dependent NADH-azoreductase [EC:1.7.1.17]"
K01119	"cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]"
K01126	"E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]"
K01129	dgt; dGTPase [EC:3.1.5.1]
K01130	"E3.1.6.1, aslA; arylsulfatase [EC:3.1.6.1]"
K01133	betC; choline-sulfatase [EC:3.1.6.6]
K01134	ARSA; arylsulfatase A [EC:3.1.6.8]
K01137	GNS; N-acetylglucosamine-6-sulfatase [EC:3.1.6.14]
K01138	K01138; uncharacterized sulfatase [EC:3.1.6.-]
K01139	"spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]"
K01141	"sbcB, exoI; exodeoxyribonuclease I [EC:3.1.11.1]"
K01142	"E3.1.11.2, xthA; exodeoxyribonuclease III [EC:3.1.11.2]"
K01144	E3.1.11.5; exodeoxyribonuclease V [EC:3.1.11.5]
K01146	xni; protein Xni
K01147	rnb; exoribonuclease II [EC:3.1.13.1]
K01150	endA; deoxyribonuclease I [EC:3.1.21.1]
K01151	nfo; deoxyribonuclease IV [EC:3.1.21.2]
K01153	"hsdR; type I restriction enzyme, R subunit [EC:3.1.21.3]"
K01154	"hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]"
K01155	E3.1.21.4; type II restriction enzyme [EC:3.1.21.4]
K01156	res; type III restriction enzyme [EC:3.1.21.5]
K01159	ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]
K01166	RNASET2; ribonuclease T2 [EC:4.6.1.19]
K01169	rna; ribonuclease I (enterobacter ribonuclease) [EC:4.6.1.21]
K01170	"endA; tRNA-intron endonuclease, archaea type [EC:4.6.1.16]"
K01173	"ENDOG; endonuclease G, mitochondrial"
K01174	nuc; micrococcal nuclease [EC:3.1.31.1]
K01175	ybfF; esterase [EC:3.1.-.-]
K01176	"AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]"
K01179	E3.2.1.4; endoglucanase [EC:3.2.1.4]
K01181	"E3.2.1.8, xynA; endo-1,4-beta-xylanase [EC:3.2.1.8]"
K01182	"IMA, malL; oligo-1,6-glucosidase [EC:3.2.1.10]"
K01183	E3.2.1.14; chitinase [EC:3.2.1.14]
K01185	E3.2.1.17; lysozyme [EC:3.2.1.17]
K01186	NEU1; sialidase-1 [EC:3.2.1.18]
K01187	malZ; alpha-glucosidase [EC:3.2.1.20]
K01190	lacZ; beta-galactosidase [EC:3.2.1.23]
K01191	MAN2C1; alpha-mannosidase [EC:3.2.1.24]
K01192	"E3.2.1.25, MANBA, manB; beta-mannosidase [EC:3.2.1.25]"
K01193	"INV, sacA; beta-fructofuranosidase [EC:3.2.1.26]"
K01194	"TREH, treA, treF; alpha,alpha-trehalase [EC:3.2.1.28]"
K01195	"uidA, GUSB; beta-glucuronidase [EC:3.2.1.31]"
K01198	"xynB; xylan 1,4-beta-xylosidase [EC:3.2.1.37]"
K01200	pulA; pullulanase [EC:3.2.1.41]
K01201	"GBA, srfJ; glucosylceramidase [EC:3.2.1.45]"
K01206	FUCA; alpha-L-fucosidase [EC:3.2.1.51]
K01207	nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52]
K01214	"ISA, treX; isoamylase [EC:3.2.1.68]"
K01219	E3.2.1.81; beta-agarase [EC:3.2.1.81]
K01222	"E3.2.1.86A, celF; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
K01223	"E3.2.1.86B, bglA; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
K01226	treC; trehalose-6-phosphate hydrolase [EC:3.2.1.93]
K01232	glvA; maltose-6'-phosphate glucosidase [EC:3.2.1.122]
K01239	iunH; purine nucleosidase [EC:3.2.2.1]
K01241	amn; AMP nucleosidase [EC:3.2.2.4]
K01243	"mtnN, mtn, pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9]"
K01246	tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
K01247	alkA; DNA-3-methyladenine glycosylase II [EC:3.2.2.21]
K01250	rihA; pyrimidine-specific ribonucleoside hydrolase [EC:3.2.-.-]
K01251	"E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]"
K01252	"entB, dhbB, vibB, mxcF; bifunctional isochorismate lyase / aryl carrier protein [EC:3.3.2.1 6.3.2.14]"
K01255	"CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]"
K01256	pepN; aminopeptidase N [EC:3.4.11.2]
K01258	pepT; tripeptide aminopeptidase [EC:3.4.11.4]
K01259	pip; proline iminopeptidase [EC:3.4.11.5]
K01262	pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9]
K01263	E3.4.11.14; cytosol alanyl aminopeptidase [EC:3.4.11.14]
K01265	map; methionyl aminopeptidase [EC:3.4.11.18]
K01266	"dmpA, dap; D-aminopeptidase [EC:3.4.11.19]"
K01267	DNPEP; aspartyl aminopeptidase [EC:3.4.11.21]
K01270	pepD; dipeptidase D [EC:3.4.13.-]
K01271	pepQ; Xaa-Pro dipeptidase [EC:3.4.13.9]
K01273	DPEP; membrane dipeptidase [EC:3.4.13.19]
K01277	DPP3; dipeptidyl-peptidase III [EC:3.4.14.4]
K01278	"DPP4, CD26; dipeptidyl-peptidase 4 [EC:3.4.14.5]"
K01281	pepX; X-Pro dipeptidyl-peptidase [EC:3.4.14.11]
K01283	"ACE, CD143; peptidyl-dipeptidase A [EC:3.4.15.1]"
K01284	dcp; peptidyl-dipeptidase Dcp [EC:3.4.15.5]
K01286	E3.4.16.4; D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]
K01295	cpg; glutamate carboxypeptidase [EC:3.4.17.11]
K01297	ldcA; muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]
K01299	E3.4.17.19; carboxypeptidase Taq [EC:3.4.17.19]
K01322	PREP; prolyl oligopeptidase [EC:3.4.21.26]
K01338	lon; ATP-dependent Lon protease [EC:3.4.21.53]
K01354	ptrB; oligopeptidase B [EC:3.4.21.83]
K01355	ompT; omptin [EC:3.4.23.49]
K01356	lexA; repressor LexA [EC:3.4.21.88]
K01358	"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
K01372	"BLMH, pepC; bleomycin hydrolase [EC:3.4.22.40]"
K01387	colA; microbial collagenase [EC:3.4.24.3]
K01409	"KAE1, tsaD, QRI7; N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]"
K01414	prlC; oligopeptidase A [EC:3.4.24.70]
K01419	"hslV, clpQ; ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]"
K01420	"fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein"
K01423	bepA; beta-barrel assembly-enhancing protease [EC:3.4.-.-]
K01424	"E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]"
K01425	"glsA, GLS; glutaminase [EC:3.5.1.2]"
K01426	"E3.5.1.4, amiE; amidase [EC:3.5.1.4]"
K01428	ureC; urease subunit alpha [EC:3.5.1.5]
K01429	ureB; urease subunit beta [EC:3.5.1.5]
K01430	ureA; urease subunit gamma [EC:3.5.1.5]
K01431	"UPB1, pydC; beta-ureidopropionase [EC:3.5.1.6]"
K01433	purU; formyltetrahydrofolate deformylase [EC:3.5.1.10]
K01434	E3.5.1.11; penicillin amidase [EC:3.5.1.11]
K01436	K01436; amidohydrolase [EC:3.5.1.-]
K01437	"ASPA, aspA; aspartoacylase [EC:3.5.1.15]"
K01438	argE; acetylornithine deacetylase [EC:3.5.1.16]
K01439	dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]
K01442	E3.5.1.24; choloylglycine hydrolase [EC:3.5.1.24]
K01443	"nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]"
K01444	"AGA, aspG; N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]"
K01447	xlyAB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K01448	amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K01451	hipO; hippurate hydrolase [EC:3.5.1.32]
K01453	nylB; 6-aminohexanoate-oligomer exohydrolase [EC:3.5.1.46]
K01455	E3.5.1.49; formamidase [EC:3.5.1.49]
K01458	hutG; N-formylglutamate deformylase [EC:3.5.1.68]
K01459	E3.5.1.77; N-carbamoyl-D-amino-acid hydrolase [EC:3.5.1.77]
K01460	gsp; glutathionylspermidine amidase/synthetase [EC:3.5.1.78 6.3.1.8]
K01462	"PDF, def; peptide deformylase [EC:3.5.1.88]"
K01463	bshB1; N-acetylglucosamine malate deacetylase 1 [EC:3.5.1.-]
K01464	"DPYS, dht, hydA; dihydropyrimidinase [EC:3.5.2.2]"
K01465	"URA4, pyrC; dihydroorotase [EC:3.5.2.3]"
K01466	allB; allantoinase [EC:3.5.2.5]
K01467	ampC; beta-lactamase class C [EC:3.5.2.6]
K01468	"hutI, AMDHD1; imidazolonepropionase [EC:3.5.2.7]"
K01469	"OPLAH, OXP1, oplAH; 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]"
K01470	E3.5.2.10; creatinine amidohydrolase [EC:3.5.2.10]
K01473	hyuA; N-methylhydantoinase A [EC:3.5.2.14]
K01474	hyuB; N-methylhydantoinase B [EC:3.5.2.14]
K01475	E3.5.2.20; isatin hydrolase [EC:3.5.2.20]
K01476	"E3.5.3.1, rocF, arg; arginase [EC:3.5.3.1]"
K01478	arcA; arginine deiminase [EC:3.5.3.6]
K01479	hutG; formiminoglutamase [EC:3.5.3.8]
K01480	speB; agmatinase [EC:3.5.3.11]
K01482	"DDAH, ddaH; dimethylargininase [EC:3.5.3.18]"
K01483	allA; ureidoglycolate lyase [EC:4.3.2.3]
K01484	astB; succinylarginine dihydrolase [EC:3.5.3.23]
K01485	codA; cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]
K01486	ade; adenine deaminase [EC:3.5.4.2]
K01487	"E3.5.4.3, guaD; guanine deaminase [EC:3.5.4.3]"
K01488	"add, ADA; adenosine deaminase [EC:3.5.4.4]"
